# 29 targets read from rh_gamma09_targets.txt

## operator: Gamma_0(9) chi,  N=64, float64
| gamma | t | |det(1-PL)| | ctrl gm | ratio(-) | |det(1+PL)| | ctrl gm | ratio(+) |
|---|---|---|---|---|---|---|---|
| -10.016550423 | -5.008275211 | 2.0102e+01 | 1.749e+01 | 1.149e+00 | 6.2927e+01 | 7.414e+01 | 8.488e-01 |
| -7.532433052 | -3.766216526 | 1.1727e+01 | 3.682e+00 | 3.185e+00 | 9.2904e+00 | 4.548e+00 | 2.043e+00 |
| -3.444093155 | -1.722046578 | 1.0900e+00 | 1.051e+00 | 1.037e+00 | 8.8046e-01 | 8.760e-01 | 1.005e+00 |
| +5.319575123 | +2.659787562 | 5.8693e-01 | 7.886e-01 | 7.442e-01 | 1.6191e+00 | 1.792e+00 | 9.033e-01 |
| +7.834671439 | +3.917335719 | 1.9590e+01 | 2.967e+01 | 6.602e-01 | 1.2525e+01 | 1.239e+01 | 1.011e+00 |
| +9.620772853 | +4.810386427 | 3.3801e+01 | 2.423e+01 | 1.395e+00 | 5.1727e+01 | 3.463e+01 | 1.494e+00 |
| +12.601813393 | +6.300906697 | 1.8835e+02 | 9.897e+01 | 1.903e+00 | 1.5550e+02 | 1.236e+02 | 1.258e+00 |
| +15.125930108 | +7.562965054 | 7.2093e+02 | 2.751e+02 | 2.621e+00 | 1.6502e+03 | 1.211e+03 | 1.362e+00 |
| +16.447228436 | +8.223614218 | 1.1148e+03 | 1.002e+03 | 1.113e+00 | 2.6247e+03 | 3.033e+03 | 8.653e-01 |
| +18.325315411 | +9.162657705 | 1.6104e+04 | 9.704e+03 | 1.660e+00 | 8.9797e+03 | 8.764e+03 | 1.025e+00 |
| -18.325315411 | -9.162657705 | 1.6104e+04 | 9.704e+03 | 1.660e+00 | 8.9797e+03 | 8.764e+03 | 1.025e+00 |
| -16.447228436 | -8.223614218 | 1.1148e+03 | 1.002e+03 | 1.113e+00 | 2.6247e+03 | 3.033e+03 | 8.653e-01 |
| -15.125930108 | -7.562965054 | 7.2093e+02 | 2.751e+02 | 2.621e+00 | 1.6502e+03 | 1.211e+03 | 1.362e+00 |
| -12.601813393 | -6.300906697 | 1.8835e+02 | 9.897e+01 | 1.903e+00 | 1.5550e+02 | 1.236e+02 | 1.258e+00 |
